puzzle_id,rating,moves,themes,fen,solution_depth,description,algo,heuristic,found,solution_length,nodes_expanded,runtime,reached_max_nodes
001gi,820,c7a8 a5c3,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,1,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],dfs,na,1,2,3,0.0006196670001372695,0
001gi,820,c7a8 a5c3,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,1,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],ucs,na,1,2,30,0.03247749999718508,0
001gi,820,c7a8 a5c3,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,1,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],astar,null_heuristic,1,2,30,0.03340116600156762,0
001gi,820,c7a8 a5c3,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,1,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],astar,material_heuristic,1,2,43,0.04346587500185706,0
001gi,820,c7a8 a5c3,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,1,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],astar,mate_in_one_heuristic,1,2,30,0.23537450000003446,0
001gi,820,c7a8 a5c3,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,1,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],astar,attacker_proximity_heuristic,1,2,68,0.09975425000448013,0
001gi,820,c7a8 a5c3,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,1,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],astar,opponent_king_escape_heuristic,1,5,4257,7.98801325000386,0
001gi,820,c7a8 a5c3,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,1,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],astar,mobility_heuristic,1,4,355,0.13581783300469397,0
001gi,820,c7a8 a5c3,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,1,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],astar,checks_available_heuristic,1,2,60,0.34425562500109663,0
001gi,820,c7a8 a5c3,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],r6r/1pNk1ppp/2np4/b3p3/4P1b1/N1Q5/P4PPP/R3KB1R w KQ - 3 18,1,['bodenMate' 'hangingPiece' 'mate' 'mateIn1' 'middlegame' 'oneMove'],astar,composite_heuristic,1,2,17,0.09734612500324147,0
001pC,878,f1g1 h3f2,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,1,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],bfs,na,1,2,3,0.0007635830043000169,0
001pC,878,f1g1 h3f2,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,1,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],dfs,na,1,2,3,0.00029504200210794806,0
001pC,878,f1g1 h3f2,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,1,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],ucs,na,1,2,3,0.0007139170047594234,0
001pC,878,f1g1 h3f2,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,1,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],astar,null_heuristic,1,2,3,0.0007132910031941719,0
001pC,878,f1g1 h3f2,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,1,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],astar,material_heuristic,1,2,3,0.00100666700018337,0
001pC,878,f1g1 h3f2,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],r4rk1/pp3ppp/3b4/2p1pPB1/7N/2PP3n/PP4PP/R2Q1RqK w - - 5 18,1,['mate' 'mateIn1' 'middlegame' 'oneMove' 'smotheredMate'],astar,mate_in_one_heuristic,1,2,3,0.004716917006589938,0
